Boundary,Protocol,Src_IP,Dst_IP,RTT_ms
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.177165985107422
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,191.3130283355713
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.849433898925781
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.591371536254883
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.949808120727539
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,187.19959259033203
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.1790008544921875
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.7077922821044922
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.8809776306152344
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,190.4606819152832
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.955768585205078
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.747774124145508
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.118846893310547
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,187.15405464172363
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.13458251953125
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.5947093963623047
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.981040954589844
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,187.33716011047363
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,1.9958019256591797
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.7566680908203125
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.06193733215332
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,192.2166347503662
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.2715797424316406
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.4678707122802734
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.563020706176758
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,189.08309936523438
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.267526626586914
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.152681350708008
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.496408462524414
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,190.78421592712402
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.481077194213867
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,3.2498836517333984
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.238367080688477
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,188.07291984558105
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.2753944396972656
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.4421215057373047
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.183603286743164
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,191.17212295532227
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,5.562543869018555
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.1271705627441406
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.526926040649414
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,188.7657642364502
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.5588741302490234
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.1865367889404297
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.1251907348632812
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,191.2083625793457
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.879070281982422
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.82342529296875
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.410816192626953
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,190.9031867980957
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.226922988891602
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.500844955444336
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,3.990650177001953
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,190.31691551208496
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.8847198486328125
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,2.841949462890625
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.8160552978515625
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,187.61038780212402
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.318475723266602
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.2907981872558594
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.026651382446289
