Layer,Boundary,Protocol,Latency_ms
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.7566680908203125
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.06193733215332
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.2166347503662
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.2715797424316406
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.467870712280273
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.563020706176758
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,189.0830993652344
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.267526626586914
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.152681350708008
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.496408462524414
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.784215927124
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.481077194213867
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.2498836517333984
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.238367080688477
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,188.07291984558103
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.2753944396972656
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.4421215057373047
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.183603286743164
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.1721229553223
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,5.562543869018555
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.1271705627441406
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.526926040649414
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,188.7657642364502
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.5588741302490234
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.1865367889404297
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.125190734863281
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,191.2083625793457
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.879070281982422
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.82342529296875
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.410816192626953
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.9031867980957
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.226922988891602
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.500844955444336
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.990650177001953
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.31691551208496
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.8847198486328125
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,2.841949462890625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.8160552978515625
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,187.610387802124
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.318475723266602
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.2907981872558594
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,4.026651382446289
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,190.5913352966309
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.791093826293945
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,1.636028289794922
Inter-PLC,TM221 <-> Micro820 (Modbus TCP),Modbus TCP,3.8139820098876953
