Boundary,Protocol,Time_Bin_Start_Sec,Bytes,Packets,Bytes_per_Sec,Packets_per_Sec
Ignition SCADA <-> Middleware (OPC UA),OPC UA,343.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,344.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,345.0,986,6,986.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,346.0,1051,6,1051.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,347.0,1013,6,1013.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,348.0,878,6,878.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,349.0,1339,10,1339.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,350.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,351.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,352.0,888,6,888.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,353.0,1229,6,1229.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,354.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,355.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,356.0,542,3,542.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,357.0,960,6,960.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,358.0,1077,6,1077.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,359.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,360.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,361.0,851,6,851.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,362.0,407,3,407.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,363.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,364.0,1592,10,1592.0,10.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,365.0,959,6,959.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,366.0,932,6,932.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,367.0,905,6,905.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,368.0,516,3,516.0,3.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,369.0,1040,6,1040.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,370.0,942,6,942.0,6.0
Ignition SCADA <-> Middleware (OPC UA),OPC UA,371.0,959,6,959.0,6.0
