Boundary,Protocol,Src_IP,Dst_IP,RTT_ms
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.6492347717285156
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.40,192.168.50.20,1.12152099609375
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.574775695800781
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.40,192.168.50.20,1.962423324584961
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,3.8750171661376953
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.40,192.168.50.20,1.1181831359863281
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.394292831420898
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.40,192.168.50.20,1.157522201538086
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.431962966918945
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.40,192.168.50.20,1.0967254638671875
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.467964172363281
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.40,192.168.50.20,1.0442733764648438
Middleware <-> Micro820 (EtherNet/IP),EtherNet/IP,192.168.50.20,192.168.50.40,4.35185432434082
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,189.24450874328613
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.307985305786133
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,3.113269805908203
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.814386367797852
Middleware <-> TM221 (Modbus TCP),Modbus TCP,192.168.50.40,192.168.50.50,542.9010391235352
Middleware <-> TM221 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.40,1.219034194946289
Middleware <-> TM221 (Modbus TCP),Modbus TCP,192.168.50.40,192.168.50.50,2.5987625122070312
Middleware <-> TM221 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.40,1.402139663696289
Middleware <-> TM221 (Modbus TCP),Modbus TCP,192.168.50.40,192.168.50.50,1.8324851989746094
Middleware <-> TM221 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.40,1.1570453643798828
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,187.49666213989258
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.210710525512695
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.50,192.168.50.20,1.5039443969726562
TM221 <-> Micro820 (Modbus TCP),Modbus TCP,192.168.50.20,192.168.50.50,4.169702529907227
Ignition SCADA <-> Middleware (OPC UA),OPC UA,192.168.100.10,192.168.100.2,498.13246726989746
Ignition SCADA <-> Middleware (OPC UA),OPC UA,192.168.100.2,192.168.100.10,1.050710678100586
