device,protocol,sample_index,latency_ms
RPi Middleware<->SCADA,OPC UA,271,4.827000000659609
RPi Middleware<->SCADA,OPC UA,272,5.143300000781892
RPi Middleware<->SCADA,OPC UA,273,4.985799998394214
RPi Middleware<->SCADA,OPC UA,274,5.005200000596233
RPi Middleware<->SCADA,OPC UA,275,22.628700000495883
RPi Middleware<->SCADA,OPC UA,276,5.5025000001478475
RPi Middleware<->SCADA,OPC UA,277,6.572599999344675
RPi Middleware<->SCADA,OPC UA,278,5.2394000013009645
RPi Middleware<->SCADA,OPC UA,279,4.957099998136982
RPi Middleware<->SCADA,OPC UA,280,5.149000000528758
RPi Middleware<->SCADA,OPC UA,281,5.0159999991592485
RPi Middleware<->SCADA,OPC UA,282,5.174000001716195
RPi Middleware<->SCADA,OPC UA,283,5.170299999008421
RPi Middleware<->SCADA,OPC UA,284,5.267399999866029
RPi Middleware<->SCADA,OPC UA,285,4.947100002027582
RPi Middleware<->SCADA,OPC UA,286,5.036200000176905
RPi Middleware<->SCADA,OPC UA,287,5.088800000521587
RPi Middleware<->SCADA,OPC UA,288,5.350299998099217
RPi Middleware<->SCADA,OPC UA,289,4.912299998977687
RPi Middleware<->SCADA,OPC UA,290,5.310299999109702
RPi Middleware<->SCADA,OPC UA,291,4.884000001766253
RPi Middleware<->SCADA,OPC UA,292,5.57430000117165
RPi Middleware<->SCADA,OPC UA,293,5.006499999581138
RPi Middleware<->SCADA,OPC UA,294,4.945199998473981
RPi Middleware<->SCADA,OPC UA,295,4.838999997446081
RPi Middleware<->SCADA,OPC UA,296,4.994900002202485
RPi Middleware<->SCADA,OPC UA,297,4.7952000022633
RPi Middleware<->SCADA,OPC UA,298,5.003999998734798
RPi Middleware<->SCADA,OPC UA,299,4.913500000839122
RPi Middleware<->SCADA,OPC UA,300,5.058300001110183
RPi Middleware<->SCADA,OPC UA,301,4.896099999314174
RPi Middleware<->SCADA,OPC UA,302,5.014599999412894
RPi Middleware<->SCADA,OPC UA,303,4.983300001185853
RPi Middleware<->SCADA,OPC UA,304,4.991800000425428
RPi Middleware<->SCADA,OPC UA,305,4.928999998810468
RPi Middleware<->SCADA,OPC UA,306,5.114399999001762
RPi Middleware<->SCADA,OPC UA,307,5.049200000939891
RPi Middleware<->SCADA,OPC UA,308,5.568799999309704
RPi Middleware<->SCADA,OPC UA,309,5.352800002583535
RPi Middleware<->SCADA,OPC UA,310,5.162000001291744
RPi Middleware<->SCADA,OPC UA,311,4.902500000753207
RPi Middleware<->SCADA,OPC UA,312,4.913299999316223
RPi Middleware<->SCADA,OPC UA,313,4.865399998379871
RPi Middleware<->SCADA,OPC UA,314,4.881799999566283
RPi Middleware<->SCADA,OPC UA,315,4.844999999477295
RPi Middleware<->SCADA,OPC UA,316,4.942100000334904
RPi Middleware<->SCADA,OPC UA,317,5.018299998482689
RPi Middleware<->SCADA,OPC UA,318,5.749300002207747
RPi Middleware<->SCADA,OPC UA,319,4.875700000411598
